Repository,Language,Stars,Last Updated,Description
rust-unofficial/awesome-rust,Rust,48014,2025-01-06,A curated list of Rust code and resources.
vsouza/awesome-ios,Swift,47777,2025-01-06,"A curated list of awesome iOS ecosystem, including Objective-C and Swift Projects "
justjavac/awesome-wechat-weapp,Unknown,46448,2025-01-06,微信小程序开发资源汇总 :100:
brillout/awesome-react-components,Unknown,43127,2025-01-06,Curated List of React Components & Libraries.
akullpp/awesome-java,Unknown,42415,2025-01-06,"A curated list of awesome frameworks, libraries and software for the Java programming language."
LeCoupa/awesome-cheatsheets,JavaScript,40987,2025-01-06,"👩‍💻👨‍💻 Awesome cheatsheets for popular programming languages, frameworks and development tools. They include everything you should know in one single file."
DovAmir/awesome-design-patterns,Unknown,40737,2025-01-06,A curated list of software and architecture related design patterns.
docker/awesome-compose,HTML,36502,2025-01-06,Awesome Docker Compose samples
lukasz-madon/awesome-remote-job,Unknown,35971,2025-01-06,A curated list of awesome remote jobs and resources. Inspired by https://github.com/vinta/awesome-python
jondot/awesome-react-native,JavaScript,34801,2025-01-05,"Awesome React Native components, news, tools, and learning material!"
goabstract/Awesome-Design-Tools,JavaScript,34506,2025-01-06,The best design tools and plugins for everything 👉
sorrycc/awesome-javascript,Unknown,33821,2025-01-05,"🐢 A collection of awesome browser-side  JavaScript libraries, resources and shiny things."
alebcay/awesome-shell,Unknown,33486,2025-01-06,"A curated list of awesome command-line frameworks, toolkits, guides and gizmos. Inspired by awesome-php."
bayandin/awesome-awesomeness,Ruby,32242,2025-01-06,A curated list of awesome awesomeness
ziadoz/awesome-php,Unknown,31150,2025-01-06,"A curated list of amazingly awesome PHP libraries, resources and shiny things."
veggiemonk/awesome-docker,Unknown,30897,2025-01-06,:whale: A curated list of Docker resources and projects
herrbischoff/awesome-macos-command-line,Unknown,29095,2025-01-06,Use your macOS terminal shell to do awesome things.
jobbole/awesome-python-cn,Makefile,28993,2025-01-05,Python资源大全中文版，包括：Web框架、网络爬虫、模板引擎、数据库、数据可视化、图片处理等，由「开源前哨」和「Python开发者」微信公号团队维护更新。
imDazui/Tvlist-awesome-m3u-m3u8,Unknown,26791,2025-01-06,直播源相关资源汇总 📺 💯 IPTV、M3U —— 勤洗手、戴口罩，祝愿所有人百毒不侵
awesome-foss/awesome-sysadmin,Unknown,26176,2025-01-06,A curated list of amazingly awesome open-source sysadmin resources.
kuchin/awesome-cto,Unknown,26136,2025-01-06,"A curated and opinionated list of resources for Chief Technology Officers, with the emphasis on startups"
sindresorhus/awesome-electron,Unknown,26020,2025-01-05,Useful resources for creating apps with Electron
terryum/awesome-deep-learning-papers,TeX,25601,2025-01-06,The most cited deep learning papers
viatsko/awesome-vscode,JavaScript,25484,2025-01-06,🎨 A curated list of delightful VS Code packages and resources.
sdras/awesome-actions,Unknown,25462,2025-01-06,A curated list of awesome actions to use on GitHub
academic/awesome-datascience,Unknown,25458,2025-01-06,:memo: An awesome Data Science repository to learn and apply for real world problems.
abhisheknaiidu/awesome-github-profile-readme,Unknown,25174,2025-01-06,😎 A curated list of awesome GitHub Profile which updates in real time 
matteocrippa/awesome-swift,Ruby,25012,2025-01-06,A collaborative list of awesome Swift libraries and resources. Feel free to contribute!
kdeldycke/awesome-falsehood,Unknown,24986,2025-01-06,😱 Falsehoods Programmers Believe in
ChristosChristofidis/awesome-deep-learning,Unknown,24537,2025-01-06,"A curated list of awesome Deep Learning tutorials, projects and communities."
Igglybuff/awesome-piracy,HTML,24431,2025-01-05,A curated list of awesome warez and piracy links
kahun/awesome-sysadmin,Unknown,23811,2025-01-06,A curated list of amazingly awesome open source sysadmin resources inspired by Awesome PHP.
posquit0/Awesome-CV,TeX,23516,2025-01-06,:page_facing_up: Awesome CV is LaTeX template for your outstanding job application
hehonghui/awesome-english-ebooks,CSS,22672,2025-01-06,"经济学人(含音频)、纽约客、卫报、连线、大西洋月刊等英语杂志免费下载,支持epub、mobi、pdf格式, 每周更新"
luong-komorebi/Awesome-Linux-Software,Python,22534,2025-01-06,🐧 A list of awesome Linux softwares 
enaqx/awesome-pentest,Unknown,22232,2025-01-06,"A collection of awesome penetration testing resources, tools and other shiny things"
tayllan/awesome-algorithms,Unknown,21323,2025-01-05,A curated list of awesome places to learn and/or practice algorithms.
jbhuang0604/awesome-computer-vision,Unknown,21193,2025-01-06,A curated list of awesome computer vision resources
Hannibal046/Awesome-LLM,Unknown,20348,2025-01-06,Awesome-LLM: a curated list of Large Language Model
thangchung/awesome-dotnet-core,C#,20120,2025-01-06,":honeybee: A collection of awesome .NET core libraries, tools, frameworks and software"
jivoi/awesome-osint,Unknown,19668,2025-01-06,:scream: A curated list of amazingly awesome OSINT
quozd/awesome-dotnet,Unknown,19569,2025-01-06,"A collection of awesome .NET libraries, tools, frameworks and software"
djsime1/awesome-flipperzero,Unknown,19476,2025-01-06,🐬 A collection of awesome resources for the Flipper Zero device.
Awesome-HarmonyOS/HarmonyOS,C,19460,2025-01-06,A curated list of awesome things related to HarmonyOS. 华为鸿蒙操作系统。
ashishps1/awesome-system-design-resources,Java,19441,2025-01-06,Learn System Design concepts and prepare for interviews using free resources.
LiLittleCat/awesome-free-chatgpt,Python,19130,2025-01-06,"🆓免费的 ChatGPT 镜像网站列表，持续更新。List of free ChatGPT mirror sites, continuously updated. "
wilsonfreitas/awesome-quant,Python,18733,2025-01-06,"A curated list of insanely awesome libraries, packages and resources for Quants (Quantitative Finance)"
chaozh/awesome-blockchain-cn,JavaScript,18549,2025-01-05,收集所有区块链(BlockChain)技术开发相关资料，包括Fabric和Ethereum开发资料
matiassingers/awesome-readme,Unknown,18444,2025-01-06,A curated list of awesome READMEs
EthicalML/awesome-production-machine-learning,Unknown,17784,2025-01-06,"A curated list of awesome open source libraries to deploy, monitor, version and scale your machine learning"
imarvinle/awesome-cs-books,Unknown,17674,2025-01-06,🔥 经典编程书籍大全，涵盖：计算机系统与网络、系统架构、算法与数据结构、前端开发、后端开发、移动开发、数据库、测试、项目与团队、程序员职业修炼、求职面试等
alexpate/awesome-design-systems,Unknown,17470,2025-01-06,💅🏻 ⚒ A collection of awesome design systems
HqWu-HITCS/Awesome-Chinese-LLM,Unknown,17279,2025-01-06,整理开源的中文大语言模型，以规模较小、可私有化部署、训练成本较低的模型为主，包括底座模型，垂直领域微调及应用，数据集与教程等。
